(0, -1)
(0, -2)
(2, -5)
(-7, -1)
(-7, 2)
(-8, 3)
(-9, 4)
(-9, 5)
(-8, 5)
(-8, 6)
(-9, 6)
(2, -2)
(-9, 8)
(-13, 8)
(-14, 9)
(-9, 13)
(-8, 14)
(-7, 12)
(6, -2)
(-13, 15)
(9, 0)
(5, 2)
(5, 3)
(3, 3)
(-1, 4)
(-2, 3)
(-1, 5)
(-2, 6)
(-1, 7)
(-2, 7)
(-2, 10)
(-3, 20)
(-6, 19)
(-11, 20)
(7, 8)
(6, 5)
(-16, 21)
(-17, 21)
(14, -2)
(12, -2)
(11, -2)
(-21, 18)
(13, -5)
(16, -5)
(-20, 6)
(12, -7)
(11, -8)
(11, -9)
(12, -9)
(12, -10)
(11, -7)
(10, -7)
(10, -10)
(6, -8)
(3, -6)
(-1, -5)
(-3, -1)
(-14, 6)
(-14, 4)
(-10, 4)
(-11, 0)
(-10, 6)
(-12, 5)
(-8, 4)
(-8, 10)
(-9, -7)
(-18, 0)
(-10, -4)
(-13, -7)
(-11, 6)
(-18, -5)
(-15, -7)
(-15, -12)
(-1, -23)
(-30, 0)
(-34, 9)
(-10, -26)
(-7, -25)
(-47, 16)
(-5, -14)
(-57, 17)
(-57, 14)
(-5, -19)
(11, -63)
(30, -46)
(-52, 26)
(31, -27)
(-54, 46)
(-54, 53)
(41, -33)
(-62, 66)
(53, -18)
(-34, 68)
(56, -11)
(57, -11)
(-24, 72)
(-1, 56)
(2, 58)
(5, 29)
(6, 29)
(10, 28)
(11, 27)
(2, 27)
(5, 25)
(0, 21)
