(1, -2)
(2, -3)
(2, -4)
(1, -4)
(-7, -2)
(2, -1)
(3, -1)
(0, -3)
(-10, 7)
(-15, 8)
(8, -1)
(9, -1)
(-12, 16)
(-7, 15)
(1, 3)
(-6, 17)
(-6, 13)
(-4, 13)
(-4, 18)
(-1, 10)
(-2, 19)
(1, 11)
(0, 10)
(2, 15)
(4, 9)
(-12, 20)
(-15, 18)
(-15, 19)
(8, 9)
(8, 7)
(8, 6)
(9, 8)
(-18, 21)
(9, 3)
(-23, 21)
(-23, 20)
(-22, 20)
(-23, 19)
(11, 0)
(-14, 23)
(-13, 21)
(-14, 21)
(-15, 21)
(-13, 24)
(-14, 24)
(-15, 17)
(-18, 13)
(-19, 13)
(14, 2)
(-18, 15)
(17, -5)
(16, -7)
(-19, 10)
(-18, 10)
(18, -7)
(19, -7)
(-20, 7)
(-23, 8)
(14, -8)
(-19, 9)
(-17, 9)
(-18, 6)
(-4, 0)
(-21, 11)
(-16, 9)
(-14, 3)
(-11, -1)
(-9, 1)
(-8, 1)
(-15, 3)
(-15, 2)
(-11, -2)
(-9, -6)
(-9, -5)
(-16, 5)
(-17, 5)
(-10, -1)
(-8, -4)
(-8, -5)
(-15, -1)
(-18, -2)
(-16, 12)
(-17, 12)
(-16, 10)
(-20, 0)
(-13, -6)
(-19, -4)
(-19, -5)
(-18, -4)
(-16, -9)
(-8, -6)
(-7, -6)
(-28, -5)
(-26, -8)
(-24, -11)
(-17, -9)
(-16, -10)
(-24, 0)
(-17, -11)
(-16, -11)
(-25, 0)
(-14, -12)
(-27, 5)
(-26, 5)
(-14, -14)
(-7, -18)
(-6, -22)
(-6, -23)
(-5, -23)
(-25, 3)
(-6, -25)
(-5, -25)
(-24, 3)
(-24, 1)
(0, -23)
(-28, 4)
(-29, 4)
(-5, -26)
(-6, -26)
(-6, -27)
(-30, 2)
(-30, -1)
(-31, -1)
(-31, 2)
(-2, -18)
(-32, 3)
(-5, -22)
(-5, -21)
(-32, 2)
(-8, -18)
(-12, -19)
(-13, -19)
(-13, -20)
(-34, 5)
(-31, 6)
(-33, 8)
(-35, 9)
(-37, 10)
(-37, 11)
(-36, 11)
(-11, -35)
(-11, -34)
(-10, -33)
(-42, 12)
(-43, 12)
(-44, 12)
(-47, 11)
(-47, 14)
(-49, 15)
(-48, 14)
(-49, 13)
(-50, 13)
(-50, 15)
(-52, 17)
(-51, 17)
(-48, 16)
(-53, 12)
(-4, -32)
(-10, -35)
(-10, -34)
(-48, 11)
(-7, -36)
(-7, -37)
(-8, -37)
(-5, -38)
(1, -37)
(0, -36)
(1, -36)
(-46, 8)
(-48, 18)
(-1, -44)
(-3, -45)
(-4, -45)
(-4, -44)
(-3, -44)
(4, -47)
(6, -47)
(6, -46)
(6, -48)
(7, -49)
(7, -47)
(9, -49)
(9, -50)
(-59, 13)
(-59, 17)
(11, -58)
(-59, 19)
(-63, 18)
(11, -54)
(-68, 18)
(-68, 16)
(-64, 18)
(-62, 17)
(10, -59)
(12, -60)
(12, -63)
(-60, 16)
(14, -63)
(14, -64)
(13, -64)
(13, -65)
(12, -65)
(-51, 7)
(14, -65)
(-49, 6)
(15, -62)
(20, -60)
(24, -62)
(23, -63)
(23, -64)
(23, -65)
(25, -59)
(25, -57)
(24, -56)
(26, -53)
(26, -52)
(26, -51)
(-55, 9)
(29, -43)
(-57, 10)
(27, -43)
(27, -42)
(27, -41)
(28, -46)
(28, -47)
(-52, 7)
(28, -48)
(28, -49)
(29, -45)
(32, -45)
(34, -46)
(37, -44)
(37, -45)
(36, -46)
(36, -45)
(38, -47)
(39, -47)
(39, -48)
(38, -49)
(35, -50)
(41, -46)
(-45, 24)
(-46, 24)
(41, -44)
(43, -43)
(45, -43)
(46, -43)
(46, -41)
(45, -41)
(-49, 21)
(44, -40)
(-50, 23)
(-52, 22)
(-53, 24)
(-54, 27)
(34, -47)
(32, -43)
(31, -42)
(31, -41)
(30, -41)
(32, -41)
(-56, 26)
(-59, 27)
(35, -39)
(-59, 28)
(-60, 28)
(-60, 29)
(36, -44)
(-61, 24)
(37, -36)
(39, -37)
(-67, 16)
(-57, 22)
(-64, 20)
(-65, 23)
(-64, 24)
(30, -42)
(28, -35)
(-55, 23)
(28, -33)
(28, -31)
(25, -30)
(24, -29)
(24, -28)
(27, -27)
(27, -29)
(29, -29)
(-54, 30)
(-55, 32)
(30, -27)
(33, -32)
(-48, 37)
(-49, 38)
(36, -28)
(-49, 35)
(36, -22)
(-54, 38)
(37, -23)
(36, -21)
(-56, 37)
(33, -19)
(-54, 39)
(-53, 39)
(-54, 41)
(-53, 42)
(35, -23)
(-49, 43)
(-50, 45)
(-50, 46)
(-51, 48)
(-50, 50)
(-49, 51)
(-46, 50)
(-46, 47)
(-47, 46)
(-45, 46)
(-48, 49)
(41, -23)
(42, -26)
(44, -23)
(-49, 53)
(-52, 52)
(46, -18)
(45, -18)
(-52, 54)
(-51, 55)
(48, -17)
(-50, 58)
(-51, 58)
(-48, 56)
(44, -17)
(46, -24)
(49, -23)
(-55, 47)
(52, -26)
(52, -28)
(-56, 53)
(-56, 56)
(-57, 55)
(52, -30)
(-55, 57)
(-55, 54)
(-55, 53)
(-55, 51)
(53, -31)
(-56, 48)
(-56, 47)
(55, -30)
(55, -28)
(56, -29)
(53, -27)
(-46, 40)
(-45, 40)
(-42, 39)
(-39, 38)
(-38, 38)
(42, -19)
(44, -15)
(-38, 41)
(-38, 35)
(49, -18)
(-36, 44)
(50, -17)
(50, -16)
(49, -17)
(50, -20)
(51, -20)
(42, -29)
(41, -29)
(39, -31)
(42, -35)
(-37, 49)
(-36, 50)
(-34, 49)
(-33, 47)
(-33, 46)
(-34, 43)
(36, -34)
(37, -33)
(-33, 44)
(35, -34)
(-36, 42)
(-43, 41)
(42, -39)
(-43, 42)
(-42, 42)
(-41, 45)
(46, -39)
(48, -39)
(-43, 49)
(48, -37)
(47, -40)
(-44, 51)
(51, -40)
(52, -36)
(52, -35)
(53, -36)
(54, -36)
(54, -35)
(-45, 53)
(53, -37)
(55, -34)
(56, -36)
(56, -35)
(-41, 54)
(-42, 56)
(-40, 58)
(-40, 66)
(-39, 64)
(-38, 63)
(46, -30)
(47, -31)
(47, -33)
(47, -35)
(-41, 61)
(50, -31)
(-38, 55)
(58, -31)
(59, -29)
(-47, 63)
(-52, 61)
(-52, 62)
(-51, 64)
(-58, 67)
(-57, 70)
(-60, 67)
(-63, 68)
(-62, 68)
(-62, 64)
(-65, 67)
(-59, 65)
(-53, 58)
(-52, 58)
(52, -22)
(-47, 52)
(59, -26)
(60, -27)
(60, -28)
(60, -30)
(62, -30)
(62, -31)
(63, -31)
(65, -31)
(64, -32)
(64, -33)
(63, -28)
(-38, 58)
(-35, 58)
(61, -33)
(60, -34)
(-31, 60)
(62, -32)
(-32, 61)
(66, -34)
(-31, 63)
(-30, 62)
(-29, 61)
(63, -37)
(-28, 62)
(62, -36)
(-28, 63)
(-29, 63)
(-33, 56)
(-38, 53)
(-38, 52)
(59, -24)
(-38, 51)
(49, -19)
(50, -15)
(49, -14)
(-30, 56)
(-29, 54)
(-28, 52)
(-29, 48)
(-31, 51)
(48, -6)
(-30, 53)
(47, -6)
(47, -3)
(47, 0)
(-38, 60)
(-36, 61)
(55, -1)
(57, -1)
(56, 2)
(53, 1)
(51, 2)
(-34, 63)
(-33, 63)
(50, -2)
(-35, 64)
(-36, 67)
(-34, 67)
(48, 1)
(-36, 64)
(-37, 67)
(-38, 67)
(-42, 67)
(-42, 66)
(53, -6)
